Country Name,Year,Youth_Unemployment_Rate,Methodology
Nigeria,1991,7.426,Pre-2022
Nigeria,1992,7.242,Pre-2022
Nigeria,1993,7.556,Pre-2022
Nigeria,1994,7.58,Pre-2022
Nigeria,1995,7.7,Pre-2022
Nigeria,1996,7.542,Pre-2022
Nigeria,1997,7.452,Pre-2022
Nigeria,1998,7.41,Pre-2022
Nigeria,1999,7.552,Pre-2022
Nigeria,2000,7.571,Pre-2022
Nigeria,2001,7.539,Pre-2022
Nigeria,2002,7.219,Pre-2022
Nigeria,2003,7.233,Pre-2022
Nigeria,2004,7.228,Pre-2022
Nigeria,2005,7.538,Pre-2022
Nigeria,2006,7.687,Pre-2022
Nigeria,2007,7.859,Pre-2022
Nigeria,2008,7.921,Pre-2022
Nigeria,2009,7.836,Pre-2022
Nigeria,2010,7.861,Pre-2022
Nigeria,2011,7.896,Pre-2022
Nigeria,2012,7.861,Pre-2022
Nigeria,2013,7.713,Pre-2022
Nigeria,2014,8.044,Pre-2022
Nigeria,2015,8.457,Pre-2022
Nigeria,2016,9.1,Pre-2022
Nigeria,2017,9.707,Pre-2022
Nigeria,2018,10.138,Pre-2022
Nigeria,2019,10.418,Pre-2022
Nigeria,2020,10.842,Pre-2022
Nigeria,2021,8.991,Pre-2022
Nigeria,2022,6.024,Post-2022 (19th ICLS)
Nigeria,2023,5.131,Post-2022 (19th ICLS)
Nigeria,2024,5.088,Post-2022 (19th ICLS)
Nigeria,2025,5.34,Post-2022 (19th ICLS)
